formula,pattern,template_formula,template_file,roles,chalcogen,halide,charge_check
LiCaSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ca,S,I,sum(role_charge*stoich)=2*Ch+X
LiCaSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Ca,Se,F,sum(role_charge*stoich)=2*Ch+X
LiCaSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Ca,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiCaSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Ca,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiCaSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ca,Se,I,sum(role_charge*stoich)=2*Ch+X
LiCaTeF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Ca,Te,F,sum(role_charge*stoich)=2*Ch+X
LiCaTeCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Ca,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiCaTeBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Ca,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiCaTeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ca,Te,I,sum(role_charge*stoich)=2*Ch+X
SrLiSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Sr,S,F,sum(role_charge*stoich)=2*Ch+X
SrLiSCl,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Sr,S,Cl,sum(role_charge*stoich)=2*Ch+X
SrLiSBr,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Sr,S,Br,sum(role_charge*stoich)=2*Ch+X
SrLiSI,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Sr,S,I,sum(role_charge*stoich)=2*Ch+X
SrLiSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Sr,Se,F,sum(role_charge*stoich)=2*Ch+X
SrLiSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Sr,Se,Cl,sum(role_charge*stoich)=2*Ch+X
SrLiSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Sr,Se,Br,sum(role_charge*stoich)=2*Ch+X
SrLiSeI,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Sr,Se,I,sum(role_charge*stoich)=2*Ch+X
SrLiTeF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Sr,Te,F,sum(role_charge*stoich)=2*Ch+X
SrLiTeCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Sr,Te,Cl,sum(role_charge*stoich)=2*Ch+X
SrLiTeBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Sr,Te,Br,sum(role_charge*stoich)=2*Ch+X
SrLiTeI,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Sr,Te,I,sum(role_charge*stoich)=2*Ch+X
BaLiSF,A1B1_Ch1_X1,BaCuSF,mp-1080650.cif,A1:Li;B1:Ba,S,F,sum(role_charge*stoich)=2*Ch+X
BaLiSCl,A1B1_Ch1_X1,BaCuSF,mp-1080650.cif,A1:Li;B1:Ba,S,Cl,sum(role_charge*stoich)=2*Ch+X
BaLiSBr,A1B1_Ch1_X1,BaCuSF,mp-1080650.cif,A1:Li;B1:Ba,S,Br,sum(role_charge*stoich)=2*Ch+X
BaLiSI,A1B1_Ch1_X1,BaCuSF,mp-1080650.cif,A1:Li;B1:Ba,S,I,sum(role_charge*stoich)=2*Ch+X
BaLiSeF,A1B1_Ch1_X1,BaCuSeF,mp-9195.cif,A1:Li;B1:Ba,Se,F,sum(role_charge*stoich)=2*Ch+X
BaLiSeCl,A1B1_Ch1_X1,BaCuSeF,mp-9195.cif,A1:Li;B1:Ba,Se,Cl,sum(role_charge*stoich)=2*Ch+X
BaLiSeBr,A1B1_Ch1_X1,BaCuSeF,mp-9195.cif,A1:Li;B1:Ba,Se,Br,sum(role_charge*stoich)=2*Ch+X
BaLiSeI,A1B1_Ch1_X1,BaCuSeF,mp-9195.cif,A1:Li;B1:Ba,Se,I,sum(role_charge*stoich)=2*Ch+X
BaLiTeF,A1B1_Ch1_X1,BaCuTeF,mp-13287.cif,A1:Li;B1:Ba,Te,F,sum(role_charge*stoich)=2*Ch+X
BaLiTeCl,A1B1_Ch1_X1,BaCuTeF,mp-13287.cif,A1:Li;B1:Ba,Te,Cl,sum(role_charge*stoich)=2*Ch+X
BaLiTeBr,A1B1_Ch1_X1,BaCuTeF,mp-13287.cif,A1:Li;B1:Ba,Te,Br,sum(role_charge*stoich)=2*Ch+X
BaLiTeI,A1B1_Ch1_X1,BaCuTeF,mp-13287.cif,A1:Li;B1:Ba,Te,I,sum(role_charge*stoich)=2*Ch+X
LiMnSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Mn,S,F,sum(role_charge*stoich)=2*Ch+X
LiMnSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Mn,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiMnSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Mn,S,Br,sum(role_charge*stoich)=2*Ch+X
LiMnSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Mn,S,I,sum(role_charge*stoich)=2*Ch+X
LiMnSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Mn,Se,F,sum(role_charge*stoich)=2*Ch+X
LiMnSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Mn,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiMnSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Mn,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiMnSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Mn,Se,I,sum(role_charge*stoich)=2*Ch+X
LiMnTeF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Mn,Te,F,sum(role_charge*stoich)=2*Ch+X
LiMnTeCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Mn,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiMnTeBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Mn,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiMnTeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Mn,Te,I,sum(role_charge*stoich)=2*Ch+X
LiFeSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Fe,S,F,sum(role_charge*stoich)=2*Ch+X
LiFeSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Fe,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiFeSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Fe,S,Br,sum(role_charge*stoich)=2*Ch+X
LiFeSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Fe,S,I,sum(role_charge*stoich)=2*Ch+X
LiFeSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Fe,Se,F,sum(role_charge*stoich)=2*Ch+X
LiFeSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Fe,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiFeSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Fe,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiFeSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Fe,Se,I,sum(role_charge*stoich)=2*Ch+X
LiFeTeF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Fe,Te,F,sum(role_charge*stoich)=2*Ch+X
LiFeTeCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Fe,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiFeTeBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Fe,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiFeTeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Fe,Te,I,sum(role_charge*stoich)=2*Ch+X
LiCoSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Co,S,F,sum(role_charge*stoich)=2*Ch+X
LiCoSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Co,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiCoSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Co,S,Br,sum(role_charge*stoich)=2*Ch+X
LiCoSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Co,S,I,sum(role_charge*stoich)=2*Ch+X
LiCoSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Co,Se,F,sum(role_charge*stoich)=2*Ch+X
LiCoSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Co,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiCoSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Co,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiCoSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Co,Se,I,sum(role_charge*stoich)=2*Ch+X
LiCoTeF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Co,Te,F,sum(role_charge*stoich)=2*Ch+X
LiCoTeCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Co,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiCoTeBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Co,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiCoTeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Co,Te,I,sum(role_charge*stoich)=2*Ch+X
LiNiSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Ni,S,F,sum(role_charge*stoich)=2*Ch+X
LiNiSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ni,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiNiSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ni,S,Br,sum(role_charge*stoich)=2*Ch+X
LiNiSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ni,S,I,sum(role_charge*stoich)=2*Ch+X
LiNiSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Ni,Se,F,sum(role_charge*stoich)=2*Ch+X
LiNiSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Ni,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiNiSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Ni,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiNiSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ni,Se,I,sum(role_charge*stoich)=2*Ch+X
LiNiTeF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Ni,Te,F,sum(role_charge*stoich)=2*Ch+X
LiNiTeCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Ni,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiNiTeBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Ni,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiNiTeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ni,Te,I,sum(role_charge*stoich)=2*Ch+X
LiCuSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Cu,S,F,sum(role_charge*stoich)=2*Ch+X
LiCuSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Cu,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiCuSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Cu,S,Br,sum(role_charge*stoich)=2*Ch+X
LiCuSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Cu,S,I,sum(role_charge*stoich)=2*Ch+X
LiCuSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Cu,Se,F,sum(role_charge*stoich)=2*Ch+X
LiCuSeCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Cu,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiCuSeBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Cu,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiCuSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Cu,Se,I,sum(role_charge*stoich)=2*Ch+X
LiCuTeF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Cu,Te,F,sum(role_charge*stoich)=2*Ch+X
LiCuTeCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Cu,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiCuTeBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Cu,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiCuTeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Cu,Te,I,sum(role_charge*stoich)=2*Ch+X
LiZnSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Zn,S,F,sum(role_charge*stoich)=2*Ch+X
LiZnSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Zn,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiZnSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Zn,S,Br,sum(role_charge*stoich)=2*Ch+X
LiZnSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Zn,S,I,sum(role_charge*stoich)=2*Ch+X
LiZnSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Zn,Se,F,sum(role_charge*stoich)=2*Ch+X
LiZnSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Zn,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiZnSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Zn,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiZnSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Zn,Se,I,sum(role_charge*stoich)=2*Ch+X
LiZnTeF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Zn,Te,F,sum(role_charge*stoich)=2*Ch+X
LiZnTeCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Zn,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiZnTeBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Zn,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiZnTeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Zn,Te,I,sum(role_charge*stoich)=2*Ch+X
LiGeSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Ge,S,F,sum(role_charge*stoich)=2*Ch+X
LiGeSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ge,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiGeSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ge,S,Br,sum(role_charge*stoich)=2*Ch+X
LiGeSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ge,S,I,sum(role_charge*stoich)=2*Ch+X
LiGeSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Ge,Se,F,sum(role_charge*stoich)=2*Ch+X
LiGeSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Ge,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiGeSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Ge,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiGeSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ge,Se,I,sum(role_charge*stoich)=2*Ch+X
LiGeTeF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Ge,Te,F,sum(role_charge*stoich)=2*Ch+X
LiGeTeCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Ge,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiGeTeBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Ge,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiGeTeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ge,Te,I,sum(role_charge*stoich)=2*Ch+X
LiSnSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Sn,S,F,sum(role_charge*stoich)=2*Ch+X
LiSnSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Sn,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiSnSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Sn,S,Br,sum(role_charge*stoich)=2*Ch+X
LiSnSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Sn,S,I,sum(role_charge*stoich)=2*Ch+X
LiSnSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Sn,Se,F,sum(role_charge*stoich)=2*Ch+X
LiSnSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Sn,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiSnSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Sn,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiSnSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Sn,Se,I,sum(role_charge*stoich)=2*Ch+X
LiSnTeF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Sn,Te,F,sum(role_charge*stoich)=2*Ch+X
LiSnTeCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Sn,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiSnTeBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Sn,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiSnTeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Sn,Te,I,sum(role_charge*stoich)=2*Ch+X
LiPdSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Pd,S,F,sum(role_charge*stoich)=2*Ch+X
LiPdSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Pd,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiPdSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Pd,S,Br,sum(role_charge*stoich)=2*Ch+X
LiPdSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Pd,S,I,sum(role_charge*stoich)=2*Ch+X
LiPdSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Pd,Se,F,sum(role_charge*stoich)=2*Ch+X
LiPdSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Pd,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiPdSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Pd,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiPdSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Pd,Se,I,sum(role_charge*stoich)=2*Ch+X
LiTePdF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Pd,Te,F,sum(role_charge*stoich)=2*Ch+X
LiTePdCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Pd,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiTePdBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Pd,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiTePdI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Pd,Te,I,sum(role_charge*stoich)=2*Ch+X
LiPtSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Pt,S,F,sum(role_charge*stoich)=2*Ch+X
LiPtSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Pt,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiPtSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Pt,S,Br,sum(role_charge*stoich)=2*Ch+X
LiPtSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Pt,S,I,sum(role_charge*stoich)=2*Ch+X
LiPtSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Pt,Se,F,sum(role_charge*stoich)=2*Ch+X
LiPtSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Pt,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiPtSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Pt,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiPtSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Pt,Se,I,sum(role_charge*stoich)=2*Ch+X
LiTePtF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Pt,Te,F,sum(role_charge*stoich)=2*Ch+X
LiTePtCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Pt,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiTePtBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Pt,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiTePtI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Pt,Te,I,sum(role_charge*stoich)=2*Ch+X
NaMgSF,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Na;B1:Mg,S,F,sum(role_charge*stoich)=2*Ch+X
NaMgSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Na;B1:Mg,S,Cl,sum(role_charge*stoich)=2*Ch+X
NaMgSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Na;B1:Mg,S,Br,sum(role_charge*stoich)=2*Ch+X
NaMgSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Na;B1:Mg,S,I,sum(role_charge*stoich)=2*Ch+X
NaMgSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Na;B1:Mg,Se,F,sum(role_charge*stoich)=2*Ch+X
NaMgSeCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Na;B1:Mg,Se,Cl,sum(role_charge*stoich)=2*Ch+X
NaMgSeBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Na;B1:Mg,Se,Br,sum(role_charge*stoich)=2*Ch+X
NaMgSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Na;B1:Mg,Se,I,sum(role_charge*stoich)=2*Ch+X
NaMgTeF,A1B1_Ch1_X1,SrAgTeF,mp-1080438.cif,A1:Na;B1:Mg,Te,F,sum(role_charge*stoich)=2*Ch+X
NaMgTeCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Na;B1:Mg,Te,Cl,sum(role_charge*stoich)=2*Ch+X
NaMgTeBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Na;B1:Mg,Te,Br,sum(role_charge*stoich)=2*Ch+X
